subject_id,partner_id,session_date,session_time,subject_note,session_note
24,26,07/03/2017,13:45,,
25,27,07/03/2017,13:45,,
26,24,07/03/2017,13:45,,
27,25,07/03/2017,13:45,,
28,30,07/03/2017,13:45,went to bathroom at 14:57,
29,31,07/03/2017,13:45,,
30,28,07/03/2017,13:45,,
31,29,07/03/2017,13:45,,
32,34,07/03/2017,13:45,,
33,35,07/03/2017,13:45,,
34,32,07/03/2017,13:45,,
35,33,07/03/2017,13:45,,
36,38,07/03/2017,13:45,,
37,39,07/03/2017,13:45,,
38,36,07/03/2017,13:45,,
39,37,07/03/2017,13:45,,
40,,10/03/2017,16:00,,
41,,10/03/2017,16:00,,
42,43,07/03/2017,15:45,,
43,42,07/03/2017,15:45,,
44,46,07/03/2017,15:45,,
45,47,07/03/2017,15:45,,
46,44,07/03/2017,15:45,,
47,45,07/03/2017,15:45,,
48,50,07/03/2017,15:45,,
49,,10/03/2017,16:00,,
50,48,07/03/2017,15:45,,
51,,10/03/2017,16:00,,
52,53,07/03/2017,15:45,,
53,52,07/03/2017,15:45,,
54,55,07/03/2017,15:45,,
55,54,07/03/2017,15:45,,
56,57,07/03/2017,15:45,,
57,56,07/03/2017,15:45,,
58,59,07/03/2017,15:45,worked on PART 2 on wrong PC for 1 minute,
59,58,07/03/2017,15:45,worked on PART 2 on wrong PC for 1 minute,
60,61,07/03/2017,15:45,,
61,60,07/03/2017,15:45,,
62,63,07/03/2017,15:45,,
63,62,07/03/2017,15:45,,
64,66,08/03/2017,11:30,,
65,67,08/03/2017,11:30,,
66,64,08/03/2017,11:30,,
67,65,08/03/2017,11:30,,
68,70,08/03/2017,11:30,,
69,71,08/03/2017,11:30,,
70,68,08/03/2017,11:30,,
71,69,08/03/2017,11:30,,
72,,10/03/2017,16:00,,
73,75,08/03/2017,11:30,,
74,,10/03/2017,16:00,,
75,73,08/03/2017,11:30,,
76,78,08/03/2017,11:30,,
77,79,08/03/2017,11:30,,
78,76,08/03/2017,11:30,,
79,77,08/03/2017,11:30,,
80,81,08/03/2017,11:30,,
81,80,08/03/2017,11:30,,
82,83,08/03/2017,11:30,,
83,82,08/03/2017,11:30,,
84,,08/03/2017,13:30,,
85,,08/03/2017,13:30,,
86,,08/03/2017,13:30,"computer crashed at 13:59, was off for 1-2 minutes",
87,,08/03/2017,13:30,,
88,,08/03/2017,13:30,,
89,,08/03/2017,13:30,,
90,,08/03/2017,13:30,,
91,,08/03/2017,13:30,,
92,,08/03/2017,13:30,,
93,,08/03/2017,13:30,,
94,,08/03/2017,13:30,,
95,,08/03/2017,13:30,,
96,,08/03/2017,13:30,,
97,,08/03/2017,13:30,,
98,,08/03/2017,13:30,,
99,,08/03/2017,13:30,,
100,,08/03/2017,13:30,,
101,,08/03/2017,13:30,,
102,,08/03/2017,13:30,asked at 24:46 if it is normal to only have deers in last 2 hours,
103,,08/03/2017,13:30,,
104,106,08/03/2017,15:30,,some groups could not find PART 2; had to change assignments; problem solved at 16:10
105,107,08/03/2017,15:30,,some groups could not find PART 2; had to change assignments; problem solved at 16:10
106,104,08/03/2017,15:30,,some groups could not find PART 2; had to change assignments; problem solved at 16:10
107,105,08/03/2017,15:30,,some groups could not find PART 2; had to change assignments; problem solved at 16:10
108,110,08/03/2017,15:30,,some groups could not find PART 2; had to change assignments; problem solved at 16:10
109,111,08/03/2017,15:30,,some groups could not find PART 2; had to change assignments; problem solved at 16:10
110,108,08/03/2017,15:30,,some groups could not find PART 2; had to change assignments; problem solved at 16:10
111,109,08/03/2017,15:30,,some groups could not find PART 2; had to change assignments; problem solved at 16:10
112,114,08/03/2017,15:30,,some groups could not find PART 2; had to change assignments; problem solved at 16:10
113,115,08/03/2017,15:30,,some groups could not find PART 2; had to change assignments; problem solved at 16:10
114,112,08/03/2017,15:30,,some groups could not find PART 2; had to change assignments; problem solved at 16:10
115,113,08/03/2017,15:30,,some groups could not find PART 2; had to change assignments; problem solved at 16:10
116,117,08/03/2017,15:30,,some groups could not find PART 2; had to change assignments; problem solved at 16:10
117,116,08/03/2017,15:30,,some groups could not find PART 2; had to change assignments; problem solved at 16:10
118,119,08/03/2017,15:30,group could not start PART 2  right away,some groups could not find PART 2; had to change assignments; problem solved at 16:10
119,118,08/03/2017,15:30,group could not start PART 2  right away,some groups could not find PART 2; had to change assignments; problem solved at 16:10
120,121,08/03/2017,15:30,,some groups could not find PART 2; had to change assignments; problem solved at 16:10
121,120,08/03/2017,15:30,,some groups could not find PART 2; had to change assignments; problem solved at 16:10
122,123,08/03/2017,15:30,group could not start PART 2  right away,some groups could not find PART 2; had to change assignments; problem solved at 16:10
123,122,08/03/2017,15:30,group could not start PART 2  right away,some groups could not find PART 2; had to change assignments; problem solved at 16:10
124,126,10/03/2017,13:30,,"at beginning of session, many questions asked abiout how to answer best"
125,127,09/03/2017,13:30,,bad smell in room from a participant
126,124,10/03/2017,13:30,,"at beginning of session, many questions asked abiout how to answer best"
127,125,09/03/2017,13:30,,bad smell in room from a participant
128,130,09/03/2017,13:30,,bad smell in room from a participant
129,131,09/03/2017,13:30,,bad smell in room from a participant
130,128,09/03/2017,13:30,,bad smell in room from a participant
131,129,09/03/2017,13:30,,bad smell in room from a participant
132,134,09/03/2017,13:30,,bad smell in room from a participant
133,135,09/03/2017,13:30,,bad smell in room from a participant
134,132,09/03/2017,13:30,,bad smell in room from a participant
135,133,09/03/2017,13:30,,bad smell in room from a participant
136,137,09/03/2017,13:30,,bad smell in room from a participant
137,136,09/03/2017,13:30,,bad smell in room from a participant
138,139,09/03/2017,13:30,,bad smell in room from a participant
139,138,09/03/2017,13:30,bad smell coming from participant,bad smell in room from a participant
140,141,09/03/2017,13:30,,bad smell in room from a participant
141,140,09/03/2017,13:30,,bad smell in room from a participant
142,143,09/03/2017,13:30,,bad smell in room from a participant
143,142,09/03/2017,13:30,,bad smell in room from a participant
144,,09/03/2017,11:30,,
145,,09/03/2017,11:30,,
146,,09/03/2017,11:30,,
147,,09/03/2017,11:30,,
148,,09/03/2017,11:30,,
149,,09/03/2017,11:30,,
150,,09/03/2017,11:30,,
151,,09/03/2017,11:30,,
152,,09/03/2017,11:30,,
153,,09/03/2017,11:30,serious problems at beginning understanding the task,
154,,09/03/2017,11:30,,
155,,09/03/2017,11:30,serious problems at beginning understanding the task,
156,,09/03/2017,11:30,,
157,,09/03/2017,11:30,,
158,,09/03/2017,11:30,,
159,,09/03/2017,11:30,,
160,,09/03/2017,11:30,,
161,,09/03/2017,11:30,,
162,,09/03/2017,11:30,,
163,,09/03/2017,11:30,,
164,166,09/03/2017,15:30,,
165,167,09/03/2017,15:30,,
166,164,09/03/2017,15:30,,
167,165,09/03/2017,15:30,,
168,170,09/03/2017,15:30,,
169,171,09/03/2017,15:30,,
